kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_duration,koi_prad,koi_depth,koi_model_snr
"K02612.02","CANDIDATE","CANDIDATE",7.57299816,2.645,0.53,30.2,10.90
"K02631.02","FALSE POSITIVE","FALSE POSITIVE",3.95383243,2.37,,,
"K01871.02","CONFIRMED","CANDIDATE",32.376183,4.4639,2.26,745.4,34.20
"K01783.02","CONFIRMED","CANDIDATE",284.063137,8.297,6.36,1628.1,53.50
"K02940.01","FALSE POSITIVE","FALSE POSITIVE",129.68366098,7.86,,,
"K02941.01","FALSE POSITIVE","FALSE POSITIVE",4.30908594,1.52,1.62,160.8,17.00
"K02947.01","FALSE POSITIVE","FALSE POSITIVE",57.104588,11.5,0.98,144.3,9.30
"K02950.01","FALSE POSITIVE","FALSE POSITIVE",0.422015793,1.23416,6.69,1291.9,304.40
"K02953.01","FALSE POSITIVE","FALSE POSITIVE",0.945825494,1.8496,1.14,104.7,22.10
"K02954.01","FALSE POSITIVE","FALSE POSITIVE",0.676715927,0.63,1.29,264.5,14.50
"K02957.01","CANDIDATE","CANDIDATE",4.64490141,2.456,0.76,106.4,11.70
"K02974.01","FALSE POSITIVE","FALSE POSITIVE",0.576441813,2.027,0.82,60.8,21.20
"K02983.01","FALSE POSITIVE","FALSE POSITIVE",0.423854275,1.0198,0.58,235.3,33.30
"K02988.01","FALSE POSITIVE","FALSE POSITIVE",2.43731228,1.89,,,
"K02993.01","FALSE POSITIVE","FALSE POSITIVE",0.692693892,1.2804,32.44,1433.7,146.70
"K03001.01","FALSE POSITIVE","FALSE POSITIVE",0.768934934,1.216,4.09,846.8,58.90
"K03006.01","FALSE POSITIVE","FALSE POSITIVE",0.998212785,2.489,1.1,118.8,18.80
"K03009.01","CONFIRMED","CANDIDATE",0.764863517,1.16,1.04,150.2,13.60
"K03016.01","FALSE POSITIVE","FALSE POSITIVE",0.710894157,1.0183,1.16,122.6,18.90
"K03024.01","FALSE POSITIVE","FALSE POSITIVE",0.537839241,2.169,1.49,23.5,12.40
"K03044.01","FALSE POSITIVE","FALSE POSITIVE",0.373684977,0.9621,2.25,456.8,53.80
"K03046.01","FALSE POSITIVE","FALSE POSITIVE",1.10118564,5.2,,,
"K03054.01","FALSE POSITIVE","FALSE POSITIVE",0.544962596,1.085,1.03,247.9,18.30
