kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_duration,koi_prad,koi_depth,koi_model_snr
"K00752.01","CONFIRMED","CANDIDATE",9.48803557,2.9575,2.26,615.8,35.80
"K00752.02","CONFIRMED","CANDIDATE",54.4183827,4.507,2.83,874.8,25.80
"K00753.01","CANDIDATE","CANDIDATE",19.89913995,1.7822,14.6,10829,76.30
"K00754.01","FALSE POSITIVE","FALSE POSITIVE",1.736952453,2.40641,33.46,8079.2,505.60
"K00755.01","CONFIRMED","CANDIDATE",2.525591777,1.6545,2.75,603.3,40.90
"K00756.01","CONFIRMED","CANDIDATE",11.09432054,4.5945,3.9,1517.5,66.50
"K00756.02","CONFIRMED","CANDIDATE",4.13443512,3.1402,2.77,686,40.20
"K00756.03","CONFIRMED","CANDIDATE",2.56658897,2.429,1.59,226.5,15.00
"K00114.01","FALSE POSITIVE","FALSE POSITIVE",7.36178958,5.022,39.21,233.7,47.70
"K00757.01","CONFIRMED","CANDIDATE",16.06864674,3.5347,5.76,4914.3,161.90
"K00001.01","CONFIRMED","CANDIDATE",2.470613377,1.74319,13.04,14230.9,4304.30
"K00002.01","CONFIRMED","CANDIDATE",2.204735417,3.88864,16.1,6674.7,5945.90
"K00010.01","CONFIRMED","CANDIDATE",3.522498429,3.19843,14.59,9145.7,1741.50
"K00112.02","CONFIRMED","CANDIDATE",3.709214104,2.6302,1.16,131.1,50.60
"K00742.01","FALSE POSITIVE","FALSE POSITIVE",11.521446064,3.6399,150.51,17984.3,622.10
"K00743.01","FALSE POSITIVE","FALSE POSITIVE",19.40393776,12.2155,7.18,8918.7,214.70
"K00744.01","FALSE POSITIVE","FALSE POSITIVE",19.221388942,4.79843,49.29,74284,2317.00
"K00745.01","FALSE POSITIVE","FALSE POSITIVE",16.46983774,9.4378,7.94,10478.9,303.40
"K00746.01","CONFIRMED","CANDIDATE",9.27358173,3.2875,2.47,1288.3,87.20
"K00747.01","CONFIRMED","CANDIDATE",6.02930329,1.5821,2.85,1912.7,65.40
"K00748.01","FALSE POSITIVE","FALSE POSITIVE",2.696370652,3.6129,1.58,397.9,48.20
"K00749.01","CONFIRMED","CANDIDATE",5.349553819,3.0278,2.55,831,60.60
"K00749.02","CONFIRMED","CANDIDATE",3.94105221,2.5984,1.7,363.3,28.90
"K00749.03","CONFIRMED","CANDIDATE",8.10904807,3.596,1.3,217.4,14.10
"K00113.01","FALSE POSITIVE","FALSE POSITIVE",386.6030528,6.8057,41.5,24926.6,994.00
"K00750.01","CONFIRMED","CANDIDATE",21.67699193,3.4555,2.95,857.2,34.30
"K00751.01","CONFIRMED","CANDIDATE",4.99677968,2.1717,2.78,934.7,28.20
"K00769.01","CONFIRMED","CANDIDATE",4.280963604,2.875,2.3,750.8,61.80
"K00770.01","FALSE POSITIVE","FALSE POSITIVE",1.50635409,1.5155,4.53,2211.7,181.10
"K00771.01","FALSE POSITIVE","FALSE POSITIVE",670.645531,53.412,14.14,18090.6,642.70
"K00772.01","FALSE POSITIVE","FALSE POSITIVE",61.2563628,7.633,39.87,5123.3,85.30
"K00773.01","CONFIRMED","CANDIDATE",38.3775486,5.588,2.82,724.2,34.70
"K00757.02","CONFIRMED","CANDIDATE",41.19725502,4.6297,3.86,2213.9,51.20
"K00757.03","CONFIRMED","CANDIDATE",6.252962249,2.5819,2.65,1036.9,47.10
"K00758.01","CONFIRMED","CANDIDATE",16.01308419,3.2554,3.1,1121.9,33.20
"K00759.01","CONFIRMED","CANDIDATE",32.62876672,4.7971,3.36,1804.8,80.00
"K00759.02","CONFIRMED","CANDIDATE",91.7732862,6.473,2.12,652,19.10
"K00760.01","CONFIRMED","CANDIDATE",4.959319244,2.22739,12.21,9802,696.50
"K00761.01","FALSE POSITIVE","FALSE POSITIVE",2.701287801,3.3827,6.54,860.4,48.30
"K00762.01","CONFIRMED","CANDIDATE",4.49876511,3.7362,2.1,460,29.50
"K00763.01","FALSE POSITIVE","FALSE POSITIVE",19.651209505,5.2514,12.42,11766.3,513.40
"K00115.01","CONFIRMED","CANDIDATE",5.412203927,2.9472,2.94,601.6,166.70
"K00764.01","CONFIRMED","CANDIDATE",41.43958662,10.5989,5.5,2793.1,141.10
"K00765.01","CONFIRMED","CANDIDATE",8.35389523,2.2514,2.52,1041.6,43.40
"K00766.01","CONFIRMED","CANDIDATE",4.125543472,3.1744,4.43,1487.3,128.60
"K00767.01","CONFIRMED","CANDIDATE",2.816504904,2.50587,12.21,16813.7,1406.80
"K00768.01","FALSE POSITIVE","FALSE POSITIVE",33.93373447,14.561,7.34,8503.7,236.10
"K00786.01","CONFIRMED","CANDIDATE",3.689920099,2.6557,1.89,426.7,35.60
"K00787.01","CONFIRMED","CANDIDATE",4.431238488,3.15,3.25,1010.9,71.10
"K00787.02","CONFIRMED","CANDIDATE",11.37936986,2.6255,3.95,1023.5,37.90
"K00788.01","CONFIRMED","CANDIDATE",26.39432897,3.573,3.07,1510.9,48.20
"K00116.01","CONFIRMED","CANDIDATE",13.57078281,3.3539,2.64,511.7,88.40
"K00115.02","CONFIRMED","CANDIDATE",7.12594387,3.0014,1.79,192.4,47.10
"K00774.01","FALSE POSITIVE","FALSE POSITIVE",7.442652004,2.3078,15.03,24446.2,835.60
"K00775.01","CONFIRMED","CANDIDATE",16.38489988,3.0249,2,1127.1,28.90
"K00775.02","CONFIRMED","CANDIDATE",7.8774163,2.0805,2.16,1306.1,38.70
"K00775.03","CONFIRMED","CANDIDATE",36.4454001,4.007,1.99,1122.3,21.70
"K00776.01","CONFIRMED","CANDIDATE",3.728732147,2.683,6.02,5226.5,345.20
"K00777.01","CANDIDATE","CANDIDATE",40.4195037,3.362,7.51,6256,36.90
"K00778.01","CONFIRMED","CANDIDATE",2.243380573,1.1196,1.99,821.7,38.90
"K00779.01","FALSE POSITIVE","FALSE POSITIVE",10.405998015,6.5036,11.23,14488.8,745.20
"K00780.01","CONFIRMED","CANDIDATE",2.337437946,1.9982,2.34,971.2,82.40
"K00780.02","CANDIDATE","CANDIDATE",7.2406612,0.558,19.45,556.4,13.70
"K00115.03","CANDIDATE","CANDIDATE",3.43591631,3.133,0.55,23.2,8.70
"K00781.01","CONFIRMED","CANDIDATE",11.59822233,2.5237,2.65,2804.5,71.00
"K00782.01","CONFIRMED","CANDIDATE",6.575315881,4.3084,5.31,2793.3,221.10
"K00783.01","CONFIRMED","CANDIDATE",7.275040844,7.5377,4.86,3001,312.10
"K00784.01","CONFIRMED","CANDIDATE",19.27153892,2.7594,1.93,1219.8,37.10
"K00784.02","CONFIRMED","CANDIDATE",10.06524317,1.369,1.91,1053.3,30.30
"K00785.01","CONFIRMED","CANDIDATE",12.3935651,3.8896,2.66,916.6,35.80
"K00116.02","CONFIRMED","CANDIDATE",43.84439721,6.802,2.87,615.2,83.70
"K00798.01","FALSE POSITIVE","FALSE POSITIVE",3.341913228,3.813,21.55,725.3,39.00
"K00799.01","FALSE POSITIVE","FALSE POSITIVE",1.626630225,2.1145,32.43,1620.6,103.60
"K00800.01","CONFIRMED","CANDIDATE",2.711504086,3.0099,3.12,837.5,64.50
"K00800.02","CONFIRMED","CANDIDATE",7.21203748,4.0491,3.32,950.4,51.50
"K00789.01","FALSE POSITIVE","FALSE POSITIVE",14.1798187,2.505,1.88,459.9,11.20
"K00790.01","CONFIRMED","CANDIDATE",8.47237911,2.7245,2.59,1123.5,47.60
"K00790.02","CONFIRMED","CANDIDATE",60.4189369,5.039,2.36,931.3,20.10
"K00791.01","CONFIRMED","CANDIDATE",12.611904345,5.1497,7.4,6105.6,277.20
"K00792.01","FALSE POSITIVE","FALSE POSITIVE",1.433769925,1.8868,46.58,1976.3,112.60
"K00793.01","FALSE POSITIVE","FALSE POSITIVE",10.31872301,3.836,28.59,871.7,38.20
"K00794.01","CONFIRMED","CANDIDATE",2.539183147,2.4282,2.06,382.1,38.90
"K00795.01","CONFIRMED","CANDIDATE",6.770300385,2.0844,2.77,1304,50.80
"K00796.01","FALSE POSITIVE","FALSE POSITIVE",0.444291966,2.0792,27.51,10967.4,299.70
"K00797.01","CANDIDATE","CANDIDATE",10.181584004,3.5089,7.73,5741.1,183.60
"K00812.02","CONFIRMED","CANDIDATE",20.06036336,3.3203,1.96,1494.7,35.20
"K00812.03","CONFIRMED","CANDIDATE",46.1842039,4.758,1.83,1394.7,26.00
"K00116.04","CONFIRMED","CANDIDATE",23.9800854,5.351,1.31,104,17.10
"K00812.04","CONFIRMED","CANDIDATE",7.82502168,2.186,1.2,520.8,15.90
"K00813.01","CONFIRMED","CANDIDATE",3.895936525,2.3111,7.34,8544.8,370.80
"K00814.01","CONFIRMED","CANDIDATE",22.36646466,5.228,2.32,986.8,32.10
"K00801.01","CONFIRMED","CANDIDATE",1.625522174,2.38963,9.73,7969,799.70
"K00802.01","CANDIDATE","CANDIDATE",19.620346923,2.0038,13.6,21724.6,340.50
"K00803.01","FALSE POSITIVE","FALSE POSITIVE",7.544039,6.222,17.47,322.6,14.20
"K00804.01","CONFIRMED","CANDIDATE",9.02930689,3.1449,2.57,1019.8,53.90
"K00805.01","FALSE POSITIVE","FALSE POSITIVE",10.328035714,7.7915,13.28,16917.7,636.80
"K00806.01","CONFIRMED","CANDIDATE",143.2063047,8.9302,8.9,10565.7,138.80
"K00116.03","CONFIRMED","CANDIDATE",6.164876,3.262,0.79,55.8,14.40
"K00806.02","CONFIRMED","CANDIDATE",60.32494216,6.6188,12.19,20280.4,347.20
"K00806.03","CONFIRMED","CANDIDATE",29.1598615,4.803,1.91,488,11.60
"K00807.01","FALSE POSITIVE","FALSE POSITIVE",1.540397253,2.1541,25.69,816.1,38.80
"K00808.01","FALSE POSITIVE","FALSE POSITIVE",2.99025443,5.414,1.7,589.2,48.50
"K00809.01","CONFIRMED","CANDIDATE",1.594745374,1.9604,11.3,15044.5,1009.30
"K00810.01","CONFIRMED","CANDIDATE",4.783002698,2.335,2.5,1008.7,70.60
"K00811.01","CONFIRMED","CANDIDATE",20.50588921,4.0595,3.41,2105.5,78.50
"K00812.01","CONFIRMED","CANDIDATE",3.340218842,1.9104,2.03,1632.6,71.60
"K00828.01","FALSE POSITIVE","FALSE POSITIVE",2.507089906,2.0067,30.26,1339.2,64.90
"K00829.01","CONFIRMED","CANDIDATE",18.64932728,4.4056,3.12,893.6,46.10
"K00117.02","CONFIRMED","CANDIDATE",4.90144976,4.1654,1.7,140.7,50.60
"K00829.02","CONFIRMED","CANDIDATE",9.75192101,4.793,2.76,418,28.50
"K00829.03","CONFIRMED","CANDIDATE",38.5576546,5.794,4.02,993,39.70
"K00830.01","CONFIRMED","CANDIDATE",3.525632539,2.59959,11.58,22335,1996.70
"K00815.01","CANDIDATE","CANDIDATE",34.84398644,2.9315,7.61,4523.6,76.80
"K00816.01","CONFIRMED","CANDIDATE",7.748094239,3.5957,5.52,2472.1,113.20
"K00817.01","CONFIRMED","CANDIDATE",23.96793669,3.827,1.8,1182.3,27.50
"K00817.02","CONFIRMED","CANDIDATE",8.29561738,1.3421,1.82,824.3,17.90
"K00818.01","CONFIRMED","CANDIDATE",8.11437482,2.2736,2.1,1558,56.40
"K00819.01","FALSE POSITIVE","FALSE POSITIVE",38.036729482,4.34617,27.5,82871.6,1300.00
"K00820.01","CANDIDATE","CANDIDATE",4.64090031,35.512,30.09,2450.6,296.90
"K00011.01","FALSE POSITIVE","FALSE POSITIVE",3.747838198,5.0642,13.65,616,138.20
"K00117.01","CONFIRMED","CANDIDATE",14.74914825,6.0995,2.89,430.2,107.40
"K00821.01","CONFIRMED","CANDIDATE",21.81295996,4.3791,3.38,1175.4,37.80
"K00822.01","FALSE POSITIVE","FALSE POSITIVE",7.91936937,3.3148,10.34,15148.1,389.00
"K00823.01","CANDIDATE","CANDIDATE",1.028436523,1.8606,72.77,8098,89.60
"K00824.01","CONFIRMED","CANDIDATE",15.37562369,3.3169,11.01,15337,166.00
"K00825.01","CONFIRMED","CANDIDATE",8.10363271,3.161,2.11,887.9,39.30
"K00825.02","CONFIRMED","CANDIDATE",4.71510843,2.506,1.46,417.5,21.30
"K00826.01","CONFIRMED","CANDIDATE",6.365839713,2.9721,2.44,780.7,70.80
"K00827.01","FALSE POSITIVE","FALSE POSITIVE",5.97581754,3.065,3.86,962.4,50.30
"K00839.01","FALSE POSITIVE","FALSE POSITIVE",2.446737317,4.7211,26.25,1177.9,110.20
"K00840.01","CONFIRMED","CANDIDATE",3.04033046,1.8411,8.99,10858.8,568.20
"K00841.01","CONFIRMED","CANDIDATE",15.33528675,3.897,5,3081.4,86.60
"K00117.04","CONFIRMED","CANDIDATE",7.95825328,4.377,1.06,50,14.70
"K00841.02","CONFIRMED","CANDIDATE",31.33046135,5.176,6.5,5073.8,117.20
"K00831.01","FALSE POSITIVE","FALSE POSITIVE",3.9043425,3.831,12.28,16228.4,323.40
"K00832.01","FALSE POSITIVE","FALSE POSITIVE",9.286358079,3.49949,17.61,44791.4,1671.10
"K00833.01","FALSE POSITIVE","FALSE POSITIVE",3.951405455,2.1862,31.44,2453.9,117.20
"K00834.01","CONFIRMED","CANDIDATE",23.65369415,8.2183,7.89,3341.8,266.30
"K00834.02","CONFIRMED","CANDIDATE",13.23352214,6.7372,3.06,504.6,49.10
"K00834.03","CONFIRMED","CANDIDATE",6.15560285,4.9843,2.32,285,35.10
"K00834.04","CONFIRMED","CANDIDATE",2.090811305,3.388,1.62,115.9,19.90
"K00117.03","CONFIRMED","CANDIDATE",3.180027898,3.5797,1.53,120.3,50.40
"K00834.05","CONFIRMED","CANDIDATE",50.4467417,7.159,2.67,370.3,19.40
"K00835.01","CONFIRMED","CANDIDATE",11.76307164,2.9076,2.35,1037.3,48.90
"K00835.02","CONFIRMED","CANDIDATE",56.2279271,3.57,2.37,862.7,20.90
"K00836.01","FALSE POSITIVE","FALSE POSITIVE",2.384052875,3.0918,17.06,1268.1,50.50
"K00837.01","CONFIRMED","CANDIDATE",7.953547,2.6312,2.25,875.4,38.40
"K00837.02","CONFIRMED","CANDIDATE",4.14451656,2.3421,1.48,391.8,22.80
"K00838.01","FALSE POSITIVE","FALSE POSITIVE",4.859386384,2.2757,38.33,6044.3,269.70
"K00850.01","CONFIRMED","CANDIDATE",10.526294577,2.5211,8.24,9768,482.30
"K00851.01","CONFIRMED","CANDIDATE",4.583520948,2.7055,5.39,3812.1,99.50
"K00852.01","CONFIRMED","CANDIDATE",3.76181843,3.5176,2.66,510.6,35.90
"K00853.01","CONFIRMED","CANDIDATE",8.20396958,2.9667,3.01,1024.4,54.40
"K00853.02","CONFIRMED","CANDIDATE",14.49645186,4.016,3.01,647.5,25.70
"K00841.03","CONFIRMED","CANDIDATE",6.54626149,2.75,2.19,655.9,24.80
"K00842.01","CONFIRMED","CANDIDATE",12.71809866,3.0957,2.31,1149.4,52.70
"K00842.02","CONFIRMED","CANDIDATE",36.06588163,4.3246,2.64,1563.8,51.70
"K00843.01","CONFIRMED","CANDIDATE",4.190425659,2.8589,6.21,2877.4,240.60
"K00844.01","CONFIRMED","CANDIDATE",3.709870784,3.0694,4.35,2020.3,116.10
"K00845.01","CONFIRMED","CANDIDATE",16.3297527,6.271,3.75,1187.5,74.60
"K00846.01","CONFIRMED","CANDIDATE",27.807566216,4.21587,13.84,25391.1,748.10
"K00847.01","CONFIRMED","CANDIDATE",80.8723469,11.195,7.59,3604.6,160.90
"K00848.01","FALSE POSITIVE","FALSE POSITIVE",3.166465862,2.9381,26.82,4357.2,122.10
"K00118.01","CONFIRMED","CANDIDATE",24.99324319,5.9409,2.29,269.6,62.00
"K00849.01","CONFIRMED","CANDIDATE",10.35533116,3.1775,2.47,750.6,49.20
"K00867.01","CONFIRMED","CANDIDATE",16.08518937,3.984,3.68,1442.4,62.60
"K00868.01","CANDIDATE","CANDIDATE",235.9986399,8.2284,10.59,20714.6,271.80
"K00869.01","CONFIRMED","CANDIDATE",7.49018305,2.7297,2.56,1123.6,53.00
"K00869.02","CONFIRMED","CANDIDATE",36.2761238,4.7865,3.03,1572.6,45.50
"K00869.03","CONFIRMED","CANDIDATE",17.46087931,2.2641,2.32,812.4,22.60
"K00854.01","CONFIRMED","CANDIDATE",56.0560754,4.685,1.94,1626,27.40
"K00855.01","CONFIRMED","CANDIDATE",41.408316686,5.0264,11.38,22838.9,907.80
"K00856.01","CANDIDATE","CANDIDATE",39.74893077,7.3051,14.21,15178.9,561.10
"K00857.01","CONFIRMED","CANDIDATE",5.715425977,2.5242,2.47,908.1,59.40
"K00119.01","CONFIRMED","CANDIDATE",49.18394185,11.3364,8.2,1646.2,355.70
"K00857.02","CONFIRMED","CANDIDATE",20.0261412,1.611,2.28,421.2,10.70
"K00858.01","CANDIDATE","CANDIDATE",13.61014819,2.594,19.02,5732.9,184.10
"K00859.01","FALSE POSITIVE","FALSE POSITIVE",10.44331991,2.743,2.66,1159.8,51.70
"K00861.01","CONFIRMED","CANDIDATE",2.237489571,1.8119,1.41,315.8,30.70
"K00862.01","FALSE POSITIVE","FALSE POSITIVE",5.851520671,3.11058,14.62,33003.6,1630.40
"K00863.01","CONFIRMED","CANDIDATE",3.167893418,2.1814,2.62,781.2,64.80
"K00864.01","CONFIRMED","CANDIDATE",4.311780262,2.7251,3.11,1154,86.10
"K00864.02","CONFIRMED","CANDIDATE",20.0504494,4.556,2.69,840.9,37.80
"K00864.03","CONFIRMED","CANDIDATE",9.76734503,1.6585,2.67,569.1,21.10
"K00865.01","CANDIDATE","CANDIDATE",119.0207044,8.1405,8.98,7430.5,223.50
"K00119.02","CONFIRMED","CANDIDATE",190.3200468,15.284,7.78,1141.7,139.30
"K00866.01","FALSE POSITIVE","FALSE POSITIVE",2.861159894,1.8832,4.37,1014.3,58.30
"K00880.01","CONFIRMED","CANDIDATE",26.44439337,3.9783,3.91,1843.5,88.00
"K00880.02","CONFIRMED","CANDIDATE",51.53997972,6.3994,5.51,3644.3,155.50
"K00880.03","CONFIRMED","CANDIDATE",5.902245782,2.9003,2.43,702.3,59.30
"K00880.04","CONFIRMED","CANDIDATE",2.382951591,1.8876,1.86,391.6,41.40
"K00881.01","CONFIRMED","CANDIDATE",21.02250608,4.1072,3.07,1772.5,62.40
"K00869.04","CONFIRMED","CANDIDATE",3.219814777,2.0642,1.69,488.2,30.50
"K00870.01","CONFIRMED","CANDIDATE",5.912273234,2.3254,1.73,961.4,62.80
"K00870.02","CONFIRMED","CANDIDATE",8.98581901,2.8606,1.65,881.3,51.80
"K00871.01","CANDIDATE","CANDIDATE",12.940668656,2.4845,22.94,42450,307.50
"K00120.01","FALSE POSITIVE","FALSE POSITIVE",20.5452375,2.517,2.41,218.5,18.50
"K00872.01","CONFIRMED","CANDIDATE",33.60123371,4.4056,8.46,7425.9,247.90
"K00872.02","CONFIRMED","CANDIDATE",6.76652928,2.9004,1.97,450.7,29.20
"K00873.01","CONFIRMED","CANDIDATE",4.347288783,2.1024,2.36,451.6,39.70
"K00874.01","CONFIRMED","CANDIDATE",4.601811819,2.2607,2.35,755.9,60.80
"K00874.02","CONFIRMED","CANDIDATE",11.18719905,3.252,1.55,353.6,21.90
"K00875.01","CONFIRMED","CANDIDATE",4.220965778,3.0854,2.62,2260,157.80
"K00876.01","FALSE POSITIVE","FALSE POSITIVE",6.998099523,2.0488,588.66,20285,192.30
"K00877.01","CONFIRMED","CANDIDATE",5.95489993,2.3892,2.33,1410.7,87.20
"K00877.02","CONFIRMED","CANDIDATE",12.03987488,2.7363,2.18,1250.6,57.60
"K00877.03","CONFIRMED","CANDIDATE",20.83762895,2.3734,1.42,439,14.90
"K00121.01","FALSE POSITIVE","FALSE POSITIVE",8.8111022,5.0683,63.66,401.1,76.80
"K00878.01","CONFIRMED","CANDIDATE",23.58917143,5.073,3.16,1200.7,53.30
"K00123.01","CONFIRMED","CANDIDATE",6.481633073,3.784,2.54,298.5,125.60
"K00892.01","CONFIRMED","CANDIDATE",10.37168928,3.035,3.2,1254.9,64.50
"K00892.02","CONFIRMED","CANDIDATE",3.96996298,1.1757,1.78,299.2,15.00
"K00893.01","CONFIRMED","CANDIDATE",4.40841331,5.012,2.66,549.4,45.10
"K00894.01","FALSE POSITIVE","FALSE POSITIVE",7.9426176,6.703,4.68,1590.7,60.40
"K00881.02","CONFIRMED","CANDIDATE",226.8904775,7.558,4.53,3136.4,46.80
"K00882.01","FALSE POSITIVE","FALSE POSITIVE",1.956811408,2.1958,21.58,24905,125.40
"K00883.01","CANDIDATE","CANDIDATE",2.688899233,2.11275,12.04,37491.6,1011.60
"K00884.01","CONFIRMED","CANDIDATE",9.439459486,2.8979,4.16,3036.1,175.20
"K00122.01","CONFIRMED","CANDIDATE",11.523067458,3.8757,3.13,507.3,142.00
"K00884.02","CONFIRMED","CANDIDATE",20.47748843,2.8364,2.92,1382.4,52.70
"K00884.03","CONFIRMED","CANDIDATE",3.336123113,1.9616,1.74,516.3,41.60
"K00886.01","CONFIRMED","CANDIDATE",8.01078456,2.312,1.72,1333.6,48.50
"K00886.02","CONFIRMED","CANDIDATE",12.07134205,4.3224,1.29,759.2,31.00
"K00886.03","CONFIRMED","CANDIDATE",20.99587872,2.6333,1.3,767.3,18.20
"K00887.01","CONFIRMED","CANDIDATE",7.41113177,2.5242,2.45,620.5,50.40
"K00888.01","FALSE POSITIVE","FALSE POSITIVE",1.000747038,0.9967,4.14,1823.5,147.40
"K00889.01","CONFIRMED","CANDIDATE",8.884922995,2.07004,10.51,16053.4,388.20
"K00890.01","CONFIRMED","CANDIDATE",8.09888906,4.20241,8.95,6911.1,435.90
"K00891.01","CONFIRMED","CANDIDATE",10.00653012,5.344,3.52,936.1,71.90
"K00012.01","CONFIRMED","CANDIDATE",17.855221681,7.41287,13.16,9065.2,915.70
"K00901.01","CANDIDATE","CANDIDATE",12.732624065,2.2083,4.87,6465.7,210.50
"K00902.01","CANDIDATE","CANDIDATE",83.92494032,6.7904,4.78,7958.7,182.10
"K00903.01","CONFIRMED","CANDIDATE",5.007316661,4.2362,6.96,6932.3,431.40
"K00904.01","CONFIRMED","CANDIDATE",2.211116989,1.6485,1.85,724.2,42.60
"K00904.02","CONFIRMED","CANDIDATE",27.9541337,3.95,1.9,942.5,25.40
"K00124.01","CONFIRMED","CANDIDATE",12.69104387,3.7727,2.57,252.1,60.20
"K00895.01","FALSE POSITIVE","FALSE POSITIVE",4.409409243,3.8636,10.95,12861,85.80
"K00896.01","CONFIRMED","CANDIDATE",16.23947096,4.0374,4.14,2590.7,123.80
"K00896.02","CONFIRMED","CANDIDATE",6.308201629,2.9785,2.96,1328.5,86.20
"K00897.01","CONFIRMED","CANDIDATE",2.052349884,2.0778,13.12,14280.6,1072.10
"K00898.01","CONFIRMED","CANDIDATE",9.7704486,2.4517,2.23,1897.8,58.00
"K00898.02","CONFIRMED","CANDIDATE",5.169804269,2.153,1.66,1037.4,41.40
"K00123.02","CONFIRMED","CANDIDATE",21.22261195,6.5093,2.48,366,114.90
"K00898.03","CONFIRMED","CANDIDATE",20.09017037,4.154,2.25,1432.1,36.90
"K00899.01","CONFIRMED","CANDIDATE",7.11373257,2.1764,1.16,807.6,44.40
"K00899.02","CONFIRMED","CANDIDATE",3.306551643,1.8177,0.91,509.2,37.80
"K00899.03","CONFIRMED","CANDIDATE",15.36845737,2.4714,1.11,756.1,30.90
"K00900.01","CONFIRMED","CANDIDATE",13.81020318,3.048,4.56,1309.7,46.20
"K00911.01","CONFIRMED","CANDIDATE",4.093578461,2.5833,2.85,538.6,36.40
"K00911.02","CONFIRMED","CANDIDATE",105.145959,8.593,3.43,685.4,15.40
"K00912.01","CONFIRMED","CANDIDATE",10.8484518,2.9993,2.34,1675.6,64.50
"K00912.02","CONFIRMED","CANDIDATE",6.66833241,1.915,1.18,362.3,14.20
"K00913.01","CONFIRMED","CANDIDATE",4.082274889,3.23015,10.55,17859.2,1669.10
"K00914.01","CANDIDATE","CANDIDATE",3.886655224,3.1646,1.87,581.6,48.10
"K00904.03","CONFIRMED","CANDIDATE",42.1406089,5.083,1.85,895.5,21.60
"K00904.04","CONFIRMED","CANDIDATE",4.617490562,2.2618,1.62,575.8,28.10
"K00904.05","CONFIRMED","CANDIDATE",10.19849255,2.4283,1.75,634.1,21.40
"K00905.01","FALSE POSITIVE","FALSE POSITIVE",5.795063956,3.2496,4.33,1692.9,119.40
"K00906.01","CONFIRMED","CANDIDATE",7.15681552,2.5882,2.47,867,47.70
"K00906.02","CONFIRMED","CANDIDATE",17.64830851,2.0873,2.43,763.3,23.80
"K00906.03","CONFIRMED","CANDIDATE",4.14810719,2.535,1.08,175.2,12.90
"K00907.01","CONFIRMED","CANDIDATE",16.51410989,4.1575,2.72,973.5,55.90
"K00907.02","CONFIRMED","CANDIDATE",30.1329298,5.172,3.14,1015.8,44.80
"K00907.03","CONFIRMED","CANDIDATE",4.79090809,2.603,1.36,251.3,21.20
"K00124.02","CONFIRMED","CANDIDATE",31.71981013,4.819,3.09,363.4,63.10
"K00907.04","CONFIRMED","CANDIDATE",99.6415962,4.448,2.64,952.5,22.70
"K00908.01","CONFIRMED","CANDIDATE",4.708326451,3.16114,10.6,7912.7,633.40
"K00909.01","FALSE POSITIVE","FALSE POSITIVE",16.37198661,3.8449,540.37,4147.6,54.50
"K00910.01","CONFIRMED","CANDIDATE",5.392026903,2.9804,2.68,1151.4,77.40
"K00928.01","CANDIDATE","CANDIDATE",2.494170338,1.1221,2.42,863.7,69.20
"K00929.01","CONFIRMED","CANDIDATE",6.491682808,4.301,9.66,7163.3,502.30
"K00930.01","FALSE POSITIVE","FALSE POSITIVE",3.044770796,10.0134,24.54,1695,203.50
"K00931.01","CONFIRMED","CANDIDATE",3.855603916,3.2179,13.61,16652.7,1173.90
"K00932.01","FALSE POSITIVE","FALSE POSITIVE",3.855599139,3.183,3.57,1030.9,90.10
"K00125.01","CONFIRMED","FALSE POSITIVE",38.47876629,5.04169,13.26,23530,1077.80
"K00915.01","FALSE POSITIVE","FALSE POSITIVE",37.601661282,8.30604,27.22,59130.1,1667.30
"K00916.01","CONFIRMED","CANDIDATE",3.314947362,1.8007,3.94,1398.2,123.50
"K00917.01","FALSE POSITIVE","FALSE POSITIVE",6.71969089,3.0231,4.37,969.7,45.40
"K00918.01","CONFIRMED","CANDIDATE",39.6431552,6.5292,10.98,15663.8,690.30
"K00919.01","FALSE POSITIVE","FALSE POSITIVE",51.42598578,16.9422,29.66,66067.7,1843.80
"K00920.01","CONFIRMED","CANDIDATE",21.80451611,3.4097,2.6,1144.9,49.90
"K00921.01","CONFIRMED","CANDIDATE",10.28194593,3.4366,2.53,1110.7,55.00
"K00921.02","CONFIRMED","CANDIDATE",18.11993039,4.2309,2.95,1506.9,60.70
"K00921.03","CONFIRMED","CANDIDATE",3.78402867,1.9012,1.7,426.1,25.60
"K00922.01","CONFIRMED","CANDIDATE",5.15448142,3.228,2.94,697.5,48.10
"K00126.01","FALSE POSITIVE","FALSE POSITIVE",33.80364366,11.4813,20.7,13494.4,529.90
"K00923.01","CONFIRMED","CANDIDATE",5.743469797,3.4412,3.13,1240.2,79.70
"K00924.01","CANDIDATE","CANDIDATE",39.4759093,2.968,4.06,1012.6,26.60
"K00925.01","FALSE POSITIVE","FALSE POSITIVE",19.974485239,4.23479,26.56,40293.1,1398.80
"K00926.01","CONFIRMED","CANDIDATE",3.166353562,3.3129,3.82,1473.4,128.30
"K00927.01","FALSE POSITIVE","FALSE POSITIVE",23.899634407,3.81881,44.04,20953.1,547.80
"K00939.01","CONFIRMED","CANDIDATE",3.388012244,2.6849,2.11,280.1,30.60
"K00939.02","CONFIRMED","CANDIDATE",5.83909761,3.1915,2.06,273.6,25.20
"K00939.03","CONFIRMED","CANDIDATE",1.620467654,2.1888,1.57,159.6,22.70
"K00939.04","CONFIRMED","CANDIDATE",10.6816951,3.605,2.3,307.8,21.90
