toi,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_teff,st_rad
"1084.01","KP",1.3484961,2.4074261,18463.7636682,15.8824638,6346.0000000,1.1475900
"1085.01","APC",3.2541181,4.3410000,13620.0000000,14.9476000,6102.0000000,1.2800000
"1086.01","PC",3.7178828,5.5277827,4864.8405125,14.6986197,5818.0000000,2.0840001
"1087.01","FP",9.3099200,3.4640000,2220.0000000,14.2968000,6907.0000000,3.0900000
"1088.01","FA",1.1539500,2.2360000,1550.0000000,5.4836400,6093.0000000,1.4000000
"1089.01","FP",4.7370300,3.9020000,2410.0000000,25.7144000,11600.0000000,2.4800000
"109.01","KP",2.7667600,2.6872178,14947.4387827,12.2867389,5346.0000000,0.9848660
"1090.01","FP",2.1929600,4.5860000,4933.7400000,22.7769000,7009.8000000,2.9500000
"1091.01","PC",1.7258410,3.6740000,2710.0000000,15.0024000,7348.0000000,2.3900000
"1092.01","FP",1.1923000,3.1190000,3730.0000000,30.6660000,6534.0000000,2.0400000
"1093.01","FP",11.4760600,6.0830000,3050.0000000,,,
"1094.01","APC",0.5971314,0.4680000,910.0000000,9.0838200,7710.0000000,2.2800000
"1095.01","PC",1.4821386,2.1867078,2102.6568299,13.7339261,7066.0000000,2.6647301
"1096.01","FP",0.9209526,1.8602735,360.8801529,5.7349089,6553.0000000,2.8908899
"1097.01","CP",9.1885060,2.4920000,460.0000000,2.1659100,5876.0000000,0.9800000
"1097.02","CP",13.9028391,2.1264429,647.2701039,2.6136848,5876.0000000,0.9832150
"1098.01","CP",10.1826983,2.8275109,667.4752458,3.0538057,6153.0000000,1.1458200
"1099.01","CP",6.4410060,1.8120000,914.0000000,2.5637400,4867.0000000,0.8000000
"110.01","KP",3.1743504,2.7510860,15457.3247576,14.9172256,5943.0000000,1.1570600
"1100.01","FP",20.0731588,3.8449215,1152.9645461,4.0506906,6033.0000000,1.1484900
"1101.01","FP",2.6690300,1.5480000,3110.0000000,9.3682300,5803.5000000,1.5600000
"1102.01","FP",6.6337100,2.1220000,1555.3400000,2.7537500,4138.1000000,0.6300000
"1103.01","PC",2.9430800,4.0730000,4490.0000000,45.3525000,4437.0000000,3.1300000
"1104.01","FP",341.2811281,6.3030260,972.5797241,4.7531892,6058.6000000,1.3920300
"1105.01","PC",10.8680523,2.3750000,1553.0000000,2.9072600,4664.0000000,0.7600000
"1106.01","PC",11.1149000,2.2600000,900.0000000,14.7645000,5042.0000000,4.9400000
"1107.01","CP",4.0782392,4.8475616,6046.6959687,13.8981740,6501.0000000,1.7483600
"1108.01","FP",7.1438600,1.4670000,11146.4000000,22.1531000,7860.0000000,1.9100000
"1109.01","FP",7.0408300,2.9790000,1580.0000000,8.4640400,5317.0000000,0.9100000
"111.01","KP",2.1061569,1.4688934,12142.2238514,13.0868720,5380.0000000,0.9406970
"1110.01","FP",2.4545635,2.3210000,4248.0000000,11.1276000,6610.0000000,1.6400000
"1111.01","FP",11.4756978,0.8080000,8341.0000000,14.1098000,7262.0000000,2.1300000
"1112.01","FP",2.7818600,2.4560000,490.0000000,4.9256700,6819.0000000,2.2100000
"1113.01","FP",6.4410082,1.7980000,7076.0000000,4.5920300,3469.0000000,0.5300000
"1114.01","APC",2.4887726,2.6320000,4852.0000000,,8048.0000000,
"1115.01","APC",4.4519900,2.1090000,8483.3800000,15.8858000,6708.3000000,1.5700000
"1116.01","PC",5.0100708,2.0644756,409.4812214,2.3107394,5551.0000000,0.9062820
"1117.01","PC",2.2281625,2.0150000,630.0000000,2.5677800,5731.0000000,1.0200000
"1118.01","FP",4.1381200,3.9110000,5560.0000000,,4898.4000000,
"1119.01","APC",10.9566300,3.5880000,3830.0000000,23.9726000,6456.0000000,2.0700000
"112.01","KP",2.4997996,2.8651710,14621.2059647,13.8516093,5650.0000000,1.1373200
"1120.01","FP",1.6622600,3.3210000,6030.0000000,13.3343000,7301.0000000,1.6400000
"1121.01","FP",4.0761100,2.0620000,1454.1800000,,,
"1122.01","FP",3.6245513,3.0420000,1299.0000000,4.3503000,6317.0000000,1.3800000
"1123.01","APC",1.2092800,1.8860000,11883.8000000,15.1764000,5159.8000000,1.2700000
"1124.01","APC",3.5187707,2.4080000,5634.0000000,14.0061000,6690.0000000,1.4900000
"1125.01","PC",0.7724825,1.3744974,211.3168519,4.1624907,8271.0000000,2.5027299
"119.02","PC",10.6917268,3.0020000,535.0000000,1.7981100,5332.0000000,0.8200000
"1190.01","APC",3.6950015,4.5150000,7655.0000000,14.1288000,7106.7000000,1.6300000
"1191.01","FP",15.7335693,3.2880000,2540.0000000,24.3218000,6800.0000000,2.2100000
"1192.01","APC",45.9403293,3.7680000,14807.0000000,28.3312000,6479.3000000,1.2800000
"1193.01","FP",2.2219839,1.9960000,4394.0000000,15.4416000,7166.8000000,1.8700000
"1194.01","CP",2.3106428,1.2940000,6911.0000000,8.7674100,5339.9000000,0.9900000
"1195.01","FP",4.0513500,2.4000000,1132.2300000,14.2359000,4974.4000000,3.8500000
"1196.01","PC",5.5376617,2.5170000,5390.0000000,15.6557000,6689.0000000,2.0600000
"1197.01","PC",4.5960377,4.7440000,5000.0000000,16.2166000,7649.0000000,2.1200000
"1198.01","KP",3.6127710,4.1420000,11794.0000000,19.3662000,8324.0000000,1.7100000
"1199.01","CP",3.6714717,2.1490000,4340.0000000,10.6780000,5618.0000000,1.5400000
"120.01","CP",11.5350760,8.5559580,2389.9061600,12.2158080,5479.3000000,2.4877100
"1200.01","FP",0.8352406,1.0430000,2065.0000000,6.4875000,6105.0000000,1.2400000
"1201.01","CP",2.4919771,1.4338141,2093.9594201,2.2187585,3948.0000000,0.4823880
"1202.01","FP",,2.7267750,878.1341080,1.7107060,3773.0000000,0.5779830
"1203.01","CP",25.5195307,6.6877451,558.3758637,2.9641461,5742.2200000,1.1732100
"1204.01","PC",1.3812115,2.7372191,117.7553083,2.2402361,6711.0000000,1.7756799
"1205.01","PC",2.3922703,9.0053425,63.5751410,3.5905923,6090.0000000,4.1956000
"1139.01","PC",4.4780798,4.5130000,1054.0000000,11.3678000,7947.0000000,1.8300000
"114.01","KP",3.2887898,3.4367717,7005.7247902,10.5135877,5800.0000000,1.2417500
"1140.01","FP",13.7431084,2.2850000,5688.0000000,12.0500000,5941.5000000,1.3400000
"1141.01","FP",16.9487087,4.2887767,156467.5479643,45.2204505,5894.7000000,1.1179000
"1142.01","FP",3.3686634,3.0120000,3288.0000000,42.2321000,7518.0000000,2.6800000
"1143.01","FP",11.2071839,4.3660000,3276.0000000,17.4989000,6152.0000000,2.2400000
"1144.01","KP",4.8878037,2.1840000,4279.0000000,5.2915200,4757.3000000,0.7600000
"1145.01","FP",2.9716400,1.5340000,7350.0000000,,8562.5000000,
"1146.01","FP",0.6601790,1.6349369,473.0939303,6.1672487,8598.7000000,2.6243200
"1147.01","FP",10.9278415,2.4680000,2743.0000000,49.1695000,6259.0000000,2.9200000
"1148.01","KP",5.5514888,4.3350000,9493.0000000,15.8043000,6403.9000000,1.5500000
"1149.01","APC",2.3202418,2.3817612,5082.9417064,,8737.5000000,
"115.01","KP",4.7423709,2.4988145,12650.8110411,10.5505922,5377.0000000,0.8775850
"1150.01","KP",1.4810903,4.1588291,6788.5145388,20.3402421,9435.0000000,2.2877300
"1151.01","KP",3.4741012,3.3170000,15748.0000000,21.2912000,8894.8000000,1.6200000
"1152.01","FA",6.5011911,5.5463587,4501.3454064,,5485.0000000,
"1153.01","APC",6.0360758,1.2550000,987.0000000,9.8676300,6528.3000000,1.6900000
"1154.01","PC",21.7455370,4.1960000,659.0000000,2.1020800,5704.0000000,0.9300000
"1155.01","FP",1.3200300,3.1750000,552.4680000,,,
